viewer_id,login_date,device_type,session_score,login_channel
4916,2023-12-17,Web,83,Apple
1523,2023-09-03,Tablet,61,Email
6480,2023-06-20,Smart TV,24,Facebook
3090,2023-08-27,Smart TV,5,Apple
9135,2024-03-30,Smart TV,16,Mobile OTP
7372,2023-04-07,Tablet,58,Google
2016,2024-02-04,Smart TV,63,Apple
5157,2023-11-14,Web,27,Email
8576,2023-02-28,Gaming Console,10,Email
3232,2023-01-08,Web,53,Facebook
1012,2023-05-13,Mobile,82,Mobile OTP
5806,2023-11-24,Mobile,64,Facebook
1062,2023-01-22,Smart TV,13,Apple
4342,2023-04-22,Smart TV,10,Mobile OTP
415,2024-01-19,Smart TV,46,Mobile OTP
4951,2023-01-26,Gaming Console,84,Mobile OTP
5597,2023-11-16,Gaming Console,21,Mobile OTP
6506,2023-09-25,Gaming Console,30,Apple
8131,2023-03-21,Mobile,99,Email
2084,2023-03-07,Mobile,77,Apple
1272,2023-04-07,Gaming Console,74,Google
493,2023-04-29,Web,54,Apple
2781,2024-01-18,Gaming Console,47,Email
1344,2023-06-04,Gaming Console,82,Email
7716,2023-07-10,Gaming Console,88,Google
9667,2023-09-30,Gaming Console,4,Facebook
6507,2023-11-02,Tablet,18,Mobile OTP
4957,2023-02-16,Mobile,60,Email
107,2023-10-12,Tablet,63,Google
2065,2023-09-03,Gaming Console,5,Facebook
1376,2024-02-13,Mobile,52,Email
2286,2023-08-01,Web,52,Email
9996,2023-08-30,Smart TV,64,Apple
2871,2023-09-01,Tablet,43,Facebook
7525,2023-01-23,Tablet,73,Email
686,2023-09-06,Tablet,42,Email
7293,2023-09-04,Tablet,58,Facebook
8990,2024-01-24,Web,37,Email
7763,2023-04-05,Mobile,77,Email
1919,2023-05-23,Gaming Console,84,Google
2427,2023-01-26,Mobile,39,Email
5721,2023-01-16,Tablet,51,Facebook
9262,2024-02-14,Web,75,Email
2297,2023-05-15,Smart TV,82,Google
5257,2023-11-22,Mobile,23,Google
1131,2023-10-16,Gaming Console,22,Apple
6896,2023-01-04,Gaming Console,67,Email
1406,2024-02-04,Mobile,0,Apple
462,2023-07-31,Tablet,71,Facebook
6584,2023-09-25,Gaming Console,71,Mobile OTP
9535,2023-11-14,Tablet,30,Email
5020,2023-09-18,Smart TV,74,Email
4287,2023-12-06,Tablet,43,Email
5598,2023-10-25,Web,54,Mobile OTP
140,2024-03-03,Smart TV,4,Google
9256,2023-04-19,Gaming Console,19,Apple
5484,2023-06-27,Gaming Console,90,Email
708,2023-03-27,Web,55,Google
6501,2023-05-15,Gaming Console,59,Apple
7462,2023-10-10,Mobile,82,Apple
6687,2023-12-23,Gaming Console,46,Email
1405,2023-08-24,Gaming Console,65,Apple
2943,2023-01-14,Smart TV,24,Email
7924,2024-02-08,Mobile,82,Apple
6529,2023-10-12,Gaming Console,33,Facebook
4057,2023-08-09,Web,83,Mobile OTP
4446,2023-07-11,Smart TV,65,Email
569,2023-05-03,Smart TV,33,Google
5382,2023-08-29,Web,54,Mobile OTP
6144,2023-07-02,Gaming Console,58,Apple
878,2023-10-15,Mobile,82,Facebook
1677,2023-04-26,Gaming Console,89,Mobile OTP
3967,2024-02-17,Smart TV,65,Mobile OTP
2511,2023-11-27,Smart TV,76,Email
417,2023-09-24,Tablet,27,Facebook
5869,2023-09-26,Web,49,Mobile OTP
5569,2023-02-27,Mobile,96,Facebook
8437,2024-02-29,Gaming Console,11,Google
8195,2023-05-01,Gaming Console,43,Mobile OTP
8244,2023-11-01,Mobile,16,Facebook
4895,2023-11-28,Web,83,Google
9134,2023-02-23,Smart TV,50,Google
9449,2024-03-15,Web,42,Apple
3027,2023-08-04,Web,72,Mobile OTP
7147,2024-01-03,Smart TV,9,Mobile OTP
8822,2023-12-12,Mobile,28,Google
9908,2023-02-02,Smart TV,26,Facebook
909,2023-04-16,Web,78,Mobile OTP
3158,2023-06-06,Mobile,49,Google
1529,2024-02-09,Mobile,71,Facebook
169,2023-03-11,Gaming Console,79,Google
2901,2023-03-09,Tablet,3,Apple
8655,2023-12-21,Tablet,4,Mobile OTP
5883,2023-03-30,Smart TV,20,Facebook
7862,2023-07-10,Smart TV,22,Email
2854,2023-03-01,Tablet,23,Google
5644,2023-11-28,Tablet,75,Mobile OTP
4715,2023-09-28,Tablet,53,Mobile OTP
6796,2023-04-02,Smart TV,70,Mobile OTP
6623,2024-02-12,Tablet,43,Google
1818,2023-03-09,Gaming Console,23,Apple
8057,2024-02-24,Gaming Console,37,Mobile OTP
4782,2023-05-26,Gaming Console,5,Mobile OTP
2738,2024-01-25,Mobile,42,Facebook
7870,2023-08-31,Gaming Console,12,Apple
5638,2023-01-08,Web,78,Facebook
6078,2023-03-17,Gaming Console,6,Google
9214,2023-06-19,Smart TV,1,Google
2467,2024-03-16,Gaming Console,90,Apple
2803,2024-02-07,Tablet,100,Facebook
2763,2023-01-09,Web,28,Google
1670,2023-03-22,Gaming Console,73,Google
9286,2023-06-06,Smart TV,72,Email
2287,2023-02-03,Web,92,Mobile OTP
5060,2023-03-23,Mobile,65,Mobile OTP
3563,2023-06-26,Gaming Console,89,Mobile OTP
4246,2024-03-09,Smart TV,88,Google
840,2023-03-06,Tablet,15,Google
1739,2023-04-16,Web,21,Email
2718,2023-12-28,Mobile,6,Facebook
9562,2023-11-02,Mobile,26,Mobile OTP
141,2023-10-27,Gaming Console,76,Email
8660,2024-03-22,Gaming Console,33,Google
3559,2023-12-02,Gaming Console,13,Apple
5775,2023-01-18,Gaming Console,32,Facebook
6508,2024-01-21,Mobile,56,Facebook
3652,2024-03-14,Gaming Console,15,Apple
7642,2023-02-28,Smart TV,98,Google
6500,2024-02-10,Web,36,Email
1355,2023-06-22,Mobile,61,Mobile OTP
1780,2023-09-18,Tablet,82,Apple
3471,2024-02-28,Mobile,33,Email
923,2023-02-14,Tablet,47,Google
5042,2024-02-09,Mobile,13,Google
7777,2023-07-01,Mobile,38,Email
7835,2023-05-12,Mobile,80,Google
3365,2024-02-10,Gaming Console,9,Email
3555,2023-09-17,Tablet,68,Mobile OTP
7009,2023-11-05,Web,7,Email
251,2024-03-23,Gaming Console,14,Facebook
5953,2023-03-06,Smart TV,10,Email
2963,2024-03-23,Smart TV,26,Mobile OTP
1515,2023-01-09,Smart TV,93,Apple
3121,2023-07-11,Mobile,66,Facebook
188,2023-05-16,Tablet,12,Mobile OTP
5847,2023-08-16,Mobile,41,Facebook
984,2023-09-14,Gaming Console,4,Apple
3721,2023-04-22,Web,93,Facebook
4290,2023-06-17,Web,99,Email
8091,2023-09-08,Mobile,7,Apple
5890,2023-04-22,Mobile,4,Mobile OTP
5244,2023-12-26,Gaming Console,82,Mobile OTP
3785,2024-02-08,Mobile,48,Apple
1881,2023-07-02,Tablet,82,Apple
8788,2023-03-22,Web,93,Google
203,2023-08-23,Tablet,55,Google
314,2023-04-11,Web,2,Google
8120,2024-03-02,Smart TV,70,Email
5863,2023-02-22,Tablet,47,Apple
652,2023-06-20,Smart TV,20,Facebook
1502,2023-11-26,Tablet,33,Facebook
1532,2024-03-05,Smart TV,85,Facebook
5798,2024-02-25,Tablet,21,Apple
7726,2023-06-15,Gaming Console,83,Facebook
514,2024-03-12,Mobile,32,Email
7268,2024-01-08,Tablet,91,Facebook
3539,2024-01-29,Gaming Console,32,Google
5130,2024-02-18,Web,45,Mobile OTP
7284,2023-04-27,Smart TV,60,Apple
6274,2023-05-01,Smart TV,93,Email
4809,2023-07-29,Tablet,1,Email
9396,2024-02-23,Gaming Console,92,Apple
295,2023-01-27,Smart TV,94,Google
832,2024-02-25,Web,19,Facebook
3426,2024-01-09,Gaming Console,63,Facebook
7566,2023-05-19,Gaming Console,81,Email
6994,2023-06-10,Tablet,45,Apple
2101,2023-11-08,Web,5,Facebook
3050,2023-08-15,Gaming Console,23,Mobile OTP
9585,2023-10-16,Mobile,17,Apple
1906,2023-12-05,Mobile,32,Mobile OTP
813,2023-04-18,Tablet,69,Apple
8618,2024-01-30,Smart TV,29,Email
2076,2023-01-17,Tablet,17,Mobile OTP
8728,2023-06-17,Tablet,68,Mobile OTP
92,2023-08-28,Gaming Console,3,Google
6159,2023-07-12,Gaming Console,37,Email
1099,2023-02-04,Web,85,Facebook
8726,2023-04-25,Smart TV,39,Apple
2049,2023-03-10,Web,5,Mobile OTP
7150,2024-03-08,Web,60,Mobile OTP
4937,2024-03-20,Web,20,Google
216,2024-03-25,Gaming Console,87,Mobile OTP
4775,2023-10-01,Tablet,51,Facebook
268,2024-03-06,Mobile,17,Google
9157,2023-04-15,Smart TV,77,Email
2033,2024-01-09,Mobile,80,Google
2425,2023-05-06,Web,71,Google
3702,2023-02-27,Tablet,30,Email
1853,2023-11-29,Web,49,Mobile OTP
2399,2023-08-15,Tablet,22,Google
2776,2023-01-08,Web,69,Email
2967,2023-09-20,Web,90,Email
3144,2023-03-19,Tablet,33,Email
4943,2023-07-09,Tablet,79,Apple
2756,2023-01-10,Mobile,21,Email
4850,2023-03-19,Smart TV,81,Google
7762,2024-02-20,Gaming Console,42,Google
4170,2023-08-23,Tablet,61,Apple
6742,2023-12-19,Smart TV,67,Facebook
8742,2023-09-16,Web,53,Apple
5274,2024-01-15,Tablet,40,Facebook
2138,2023-11-18,Tablet,75,Mobile OTP
3797,2023-05-17,Mobile,62,Google
6388,2023-05-15,Gaming Console,28,Mobile OTP
1549,2023-04-15,Tablet,80,Google
8951,2023-04-07,Mobile,100,Apple
1979,2023-08-26,Smart TV,95,Facebook
6267,2023-10-27,Smart TV,92,Google
9917,2023-12-08,Smart TV,55,Facebook
5119,2024-02-11,Smart TV,91,Email
470,2024-01-22,Smart TV,77,Mobile OTP
3635,2023-12-20,Smart TV,92,Apple
2426,2023-09-09,Gaming Console,54,Mobile OTP
2283,2024-03-06,Smart TV,47,Email
6726,2023-12-01,Smart TV,84,Apple
9551,2023-12-14,Gaming Console,19,Mobile OTP
8508,2023-05-04,Smart TV,67,Facebook
3831,2023-09-12,Mobile,69,Mobile OTP
7215,2023-07-11,Tablet,67,Mobile OTP
3653,2024-03-10,Tablet,97,Email
1955,2023-07-15,Smart TV,28,Facebook
1574,2023-09-28,Gaming Console,86,Google
9078,2023-06-09,Gaming Console,13,Email
4686,2023-02-11,Smart TV,25,Apple
3322,2023-11-06,Smart TV,50,Facebook
9144,2023-10-20,Smart TV,53,Facebook
3086,2023-07-06,Web,1,Mobile OTP
9177,2023-03-07,Smart TV,56,Email
4712,2023-07-20,Web,84,Mobile OTP
871,2023-06-28,Tablet,19,Google
4735,2023-01-30,Smart TV,82,Mobile OTP
7129,2023-02-19,Web,75,Apple
4975,2023-12-26,Gaming Console,90,Email
3769,2023-05-09,Tablet,63,Apple
4618,2024-03-04,Gaming Console,51,Apple
5786,2023-06-26,Tablet,31,Apple
764,2023-10-09,Mobile,21,Facebook
3801,2023-03-17,Smart TV,5,Apple
1798,2023-02-02,Tablet,60,Apple
3903,2023-07-25,Tablet,19,Facebook
9466,2023-03-04,Web,88,Email
9,2024-02-29,Web,4,Email
5945,2023-05-05,Mobile,88,Apple
5145,2023-09-09,Web,62,Mobile OTP
6204,2023-02-03,Tablet,60,Apple
3489,2023-02-14,Web,24,Mobile OTP
989,2023-02-14,Gaming Console,80,Google
753,2024-03-07,Gaming Console,15,Email
6750,2023-12-13,Gaming Console,29,Apple
5534,2023-06-11,Mobile,12,Email
7234,2023-05-14,Smart TV,43,Google
3378,2024-02-22,Web,11,Facebook
8917,2023-03-29,Mobile,25,Apple
9846,2023-10-28,Smart TV,98,Email
1137,2023-07-01,Mobile,63,Email
5554,2024-01-06,Tablet,9,Email
5073,2023-09-10,Tablet,32,Google
9072,2023-09-03,Gaming Console,59,Facebook
2385,2024-03-01,Web,13,Mobile OTP
7597,2024-01-12,Gaming Console,28,Google
6821,2023-03-17,Tablet,65,Facebook
2302,2023-06-29,Mobile,61,Apple
8018,2023-01-17,Mobile,82,Apple
8931,2024-03-20,Web,86,Apple
2767,2023-07-27,Tablet,87,Apple
1078,2023-09-06,Gaming Console,79,Apple
4440,2023-03-09,Web,100,Facebook
9048,2023-12-11,Web,97,Google
8016,2024-03-26,Web,68,Google
9830,2023-05-29,Mobile,69,Mobile OTP
1041,2023-12-28,Gaming Console,82,Mobile OTP
8305,2023-01-28,Web,31,Apple
7239,2023-05-12,Gaming Console,67,Google
7546,2024-03-03,Mobile,27,Mobile OTP
9802,2024-03-24,Gaming Console,98,Email
7369,2023-11-12,Web,91,Facebook
4645,2023-11-19,Mobile,61,Mobile OTP
1768,2023-11-17,Web,49,Mobile OTP
8343,2023-11-22,Gaming Console,1,Google
2772,2023-04-09,Mobile,56,Email
741,2023-09-13,Smart TV,18,Email
1755,2023-05-28,Smart TV,67,Google
8577,2023-09-11,Mobile,17,Apple
1829,2023-02-17,Smart TV,48,Google
8880,2023-01-02,Smart TV,19,Apple
4594,2023-12-08,Web,89,Mobile OTP
1476,2023-08-14,Web,5,Facebook
9911,2023-07-07,Smart TV,13,Email
770,2023-12-27,Web,83,Apple
265,2023-05-09,Web,7,Apple
9811,2023-08-02,Web,48,Google
2908,2024-03-18,Gaming Console,51,Apple
9772,2023-12-24,Smart TV,100,Google
4867,2023-04-10,Web,45,Apple
5742,2023-05-06,Smart TV,1,Email
4773,2024-01-09,Smart TV,55,Email
3996,2023-12-31,Mobile,40,Facebook
8684,2023-11-12,Smart TV,55,Google
3722,2024-02-12,Mobile,61,Apple
8018,2023-11-23,Smart TV,75,Mobile OTP
5358,2023-02-02,Gaming Console,59,Facebook
2532,2023-11-28,Smart TV,18,Email
6967,2023-12-26,Gaming Console,63,Google
6683,2023-11-07,Gaming Console,86,Mobile OTP
6952,2023-08-19,Web,81,Email
9688,2023-09-03,Smart TV,65,Facebook
3022,2023-05-16,Tablet,65,Email
615,2023-06-22,Mobile,7,Google
7211,2024-03-18,Gaming Console,95,Facebook
6226,2024-01-13,Mobile,82,Google
9684,2023-03-01,Gaming Console,64,Email
111,2023-06-07,Mobile,6,Google
4280,2023-04-26,Tablet,75,Mobile OTP
1945,2023-04-30,Web,14,Email
5123,2023-12-21,Gaming Console,80,Mobile OTP
1023,2024-01-09,Mobile,33,Mobile OTP
9744,2023-05-15,Mobile,95,Email
1088,2023-10-10,Smart TV,52,Google
7285,2023-02-19,Mobile,35,Facebook
2418,2024-01-29,Smart TV,42,Facebook
6763,2023-12-01,Gaming Console,9,Google
3159,2023-10-19,Tablet,83,Apple
3139,2024-02-05,Tablet,5,Email
318,2023-08-07,Smart TV,85,Mobile OTP
8880,2023-12-04,Gaming Console,63,Apple
1220,2023-11-30,Mobile,41,Mobile OTP
1739,2023-08-08,Gaming Console,82,Apple
4177,2023-05-18,Smart TV,66,Email
234,2023-03-02,Mobile,53,Apple
5043,2023-02-19,Gaming Console,72,Google
9795,2024-02-08,Smart TV,98,Apple
2135,2023-06-23,Smart TV,92,Apple
5907,2023-08-22,Smart TV,42,Apple
9005,2023-09-23,Mobile,3,Google
4812,2024-03-18,Tablet,71,Google
1032,2024-03-20,Mobile,89,Email
2264,2023-04-18,Gaming Console,19,Google
5378,2024-02-26,Gaming Console,85,Apple
6585,2024-02-16,Gaming Console,95,Facebook
8823,2023-04-22,Tablet,53,Google
9558,2023-03-25,Tablet,34,Apple
4530,2024-01-21,Tablet,90,Google
7833,2024-02-07,Gaming Console,47,Facebook
1912,2023-04-01,Gaming Console,23,Apple
8543,2023-12-20,Tablet,12,Apple
4341,2024-03-07,Web,30,Google
234,2023-11-23,Gaming Console,70,Apple
9737,2023-09-30,Mobile,37,Facebook
8028,2023-06-26,Gaming Console,97,Email
3592,2023-08-09,Tablet,20,Email
9503,2024-01-22,Mobile,67,Apple
1677,2023-06-28,Web,35,Mobile OTP
7205,2024-01-12,Web,48,Facebook
9060,2023-09-13,Tablet,78,Google
2923,2023-06-27,Tablet,55,Google
4555,2023-08-18,Mobile,83,Apple
6759,2023-12-26,Mobile,18,Email
574,2024-03-16,Web,9,Apple
5084,2023-08-17,Mobile,66,Google
6979,2024-01-01,Mobile,87,Email
1630,2023-08-16,Tablet,70,Apple
3568,2023-02-07,Web,53,Apple
7451,2023-09-27,Gaming Console,100,Google
1866,2024-02-02,Web,64,Apple
8621,2023-11-24,Web,61,Apple
1500,2024-02-01,Mobile,60,Google
6699,2023-05-20,Mobile,46,Apple
3637,2023-04-15,Mobile,39,Apple
5064,2023-01-10,Mobile,8,Facebook
4864,2023-09-04,Gaming Console,87,Google
8359,2023-05-26,Mobile,84,Mobile OTP
2952,2024-03-26,Mobile,10,Facebook
1472,2023-05-31,Web,9,Apple
6528,2023-08-03,Web,56,Facebook
3730,2023-01-05,Gaming Console,30,Mobile OTP
5673,2023-05-27,Tablet,75,Email
484,2023-08-10,Tablet,82,Facebook
8516,2023-08-16,Gaming Console,97,Facebook
2857,2023-02-17,Tablet,33,Facebook
8063,2023-06-11,Tablet,9,Email
5192,2023-02-18,Mobile,57,Facebook
4828,2023-08-16,Tablet,80,Apple
3569,2023-03-19,Gaming Console,19,Facebook
8093,2023-06-17,Tablet,49,Apple
1865,2024-01-02,Gaming Console,73,Google
9495,2023-05-06,Mobile,8,Facebook
3672,2023-08-01,Mobile,47,Mobile OTP
4816,2023-02-06,Gaming Console,65,Google
4230,2024-02-22,Gaming Console,12,Google
8759,2023-02-20,Mobile,26,Mobile OTP
5053,2024-02-25,Tablet,78,Mobile OTP
8722,2023-04-24,Tablet,19,Facebook
5862,2023-06-19,Web,1,Google
2578,2023-12-23,Smart TV,42,Facebook
4562,2023-10-11,Mobile,80,Facebook
9419,2023-08-28,Gaming Console,63,Mobile OTP
7097,2023-09-22,Tablet,25,Google
9085,2023-12-18,Mobile,14,Apple
2091,2023-06-24,Smart TV,4,Email
108,2023-10-26,Mobile,40,Apple
7985,2023-07-29,Tablet,55,Google
2259,2023-02-27,Tablet,17,Mobile OTP
2107,2023-11-04,Web,31,Google
6166,2023-02-11,Tablet,25,Mobile OTP
9971,2024-03-09,Gaming Console,26,Google
1027,2023-02-14,Mobile,64,Apple
8730,2023-12-22,Tablet,22,Mobile OTP
8934,2023-05-14,Tablet,44,Email
3612,2024-01-01,Gaming Console,64,Apple
3957,2023-03-04,Smart TV,67,Email
7615,2023-09-03,Mobile,95,Mobile OTP
765,2024-01-28,Mobile,96,Email
2178,2023-03-09,Web,28,Apple
2727,2023-10-18,Tablet,61,Apple
9237,2023-08-21,Web,7,Google
2468,2024-02-14,Web,63,Mobile OTP
7074,2023-09-22,Web,60,Email
2770,2023-11-14,Tablet,2,Apple
6360,2023-08-29,Gaming Console,97,Facebook
8287,2023-10-20,Mobile,82,Email
9611,2024-03-08,Web,72,Facebook
5619,2023-01-24,Tablet,42,Facebook
7573,2024-01-14,Gaming Console,5,Facebook
78,2023-08-26,Tablet,14,Mobile OTP
9660,2024-01-25,Gaming Console,33,Facebook
4043,2023-07-07,Tablet,69,Email
81,2023-10-20,Gaming Console,10,Facebook
5353,2023-02-25,Tablet,43,Apple
6536,2023-06-13,Gaming Console,35,Facebook
6166,2023-01-27,Mobile,92,Google
3583,2023-05-06,Web,98,Apple
6452,2023-10-31,Smart TV,80,Email
8455,2024-03-30,Tablet,77,Google
3693,2024-01-04,Web,18,Google
6292,2023-03-06,Mobile,30,Apple
7158,2024-03-28,Web,33,Google
254,2024-03-03,Tablet,96,Email
6774,2024-01-17,Tablet,62,Facebook
2546,2024-01-21,Gaming Console,50,Email
1034,2024-03-19,Gaming Console,69,Facebook
7598,2023-06-28,Smart TV,99,Apple
2609,2023-03-03,Mobile,54,Apple
2283,2024-02-20,Gaming Console,0,Facebook
3036,2023-11-06,Gaming Console,30,Facebook
8484,2023-04-18,Smart TV,42,Email
2410,2023-09-14,Gaming Console,88,Mobile OTP
4047,2023-01-20,Mobile,31,Email
5970,2023-12-12,Smart TV,81,Email
3983,2023-11-04,Mobile,10,Apple
1759,2023-09-02,Tablet,86,Apple
1717,2023-12-20,Web,66,Facebook
3566,2024-02-22,Tablet,79,Apple
4065,2024-03-16,Web,62,Email
8122,2023-09-15,Mobile,40,Google
1601,2023-11-07,Gaming Console,61,Facebook
3425,2023-11-05,Smart TV,78,Email
5959,2023-04-06,Mobile,20,Google
266,2023-06-24,Tablet,69,Apple
8863,2023-04-08,Gaming Console,18,Email
4873,2023-06-22,Web,36,Google
5647,2023-09-01,Tablet,40,Mobile OTP
1434,2023-01-28,Tablet,82,Email
1573,2024-03-21,Gaming Console,59,Email
2183,2024-03-23,Gaming Console,27,Facebook
3937,2023-12-01,Smart TV,89,Facebook
5799,2023-02-27,Mobile,93,Email
5263,2023-11-01,Mobile,26,Mobile OTP
1235,2024-02-19,Web,88,Apple
6235,2023-10-31,Smart TV,29,Mobile OTP
9609,2023-11-11,Web,12,Apple
2870,2023-09-26,Smart TV,100,Google
8172,2023-11-05,Web,32,Google
693,2023-05-23,Tablet,87,Email
3344,2023-01-22,Tablet,9,Facebook
1244,2023-06-28,Gaming Console,97,Mobile OTP
4950,2024-02-17,Web,92,Mobile OTP
5089,2024-03-20,Mobile,83,Mobile OTP
4272,2023-04-06,Mobile,36,Mobile OTP
611,2023-10-25,Tablet,40,Google
9961,2023-03-02,Web,20,Email
7519,2024-03-15,Web,82,Facebook
3788,2023-05-09,Tablet,35,Facebook
2574,2023-03-08,Web,10,Google
4849,2023-08-02,Smart TV,74,Google
6821,2024-03-07,Mobile,93,Facebook
2763,2023-08-19,Mobile,81,Email
756,2023-08-17,Mobile,100,Facebook
4324,2023-12-18,Smart TV,3,Google
1278,2023-04-15,Tablet,47,Email
8338,2023-05-19,Gaming Console,2,Facebook
2652,2023-08-18,Gaming Console,96,Email
9655,2023-12-12,Mobile,88,Apple
3403,2023-02-21,Smart TV,55,Facebook
9489,2023-06-09,Web,99,Mobile OTP
5566,2023-04-05,Mobile,34,Apple
9759,2023-01-16,Tablet,7,Facebook
4646,2023-01-11,Gaming Console,18,Facebook
2098,2023-11-26,Mobile,78,Apple
5109,2023-08-26,Smart TV,21,Google
3400,2024-03-30,Gaming Console,28,Email
5602,2024-02-28,Tablet,27,Facebook
5393,2024-02-20,Web,88,Apple
1199,2023-08-05,Gaming Console,41,Mobile OTP
3874,2023-10-16,Mobile,62,Facebook
7203,2023-09-18,Gaming Console,75,Mobile OTP
6724,2023-08-19,Web,93,Google
6141,2023-02-04,Web,89,Facebook
9816,2023-01-01,Smart TV,76,Email
5596,2023-07-27,Tablet,42,Mobile OTP
5249,2023-06-22,Tablet,50,Email
8423,2024-01-13,Mobile,63,Facebook
8709,2024-01-17,Web,89,Google
9487,2023-10-12,Web,81,Facebook
2546,2023-11-21,Smart TV,15,Apple
2503,2023-09-25,Smart TV,46,Facebook
3761,2023-11-12,Mobile,61,Google
5658,2023-08-12,Gaming Console,36,Email
6748,2023-01-11,Web,75,Apple
9041,2023-06-21,Smart TV,54,Google
9982,2023-12-16,Mobile,7,Mobile OTP
1158,2023-12-31,Gaming Console,14,Apple
1278,2023-09-29,Web,75,Mobile OTP
1373,2023-12-09,Web,15,Apple
5570,2023-02-07,Smart TV,15,Apple
2401,2023-06-14,Web,70,Facebook
325,2024-01-14,Gaming Console,22,Google
7248,2023-04-10,Smart TV,25,Apple
3362,2023-10-03,Mobile,40,Facebook
7217,2023-01-29,Gaming Console,43,Mobile OTP
1591,2023-04-16,Mobile,100,Mobile OTP
6973,2023-07-11,Gaming Console,63,Apple
3570,2023-04-17,Mobile,25,Email
3183,2024-02-01,Smart TV,10,Facebook
