promo_id,viewer_id,promo_type,promo_date,discount_code_used,promo_impact_factor
45,6057,Discount,2023-08-24,True,1.0
46,2941,Free Trial,2023-04-24,True,0.5
47,5506,Free Trial,2023-07-23,True,0.5
48,6401,Free Trial,2023-03-04,False,0.5
49,5843,Free Trial,2023-08-08,True,0.5
50,3107,Referral,2023-06-18,True,1.2
51,890,Referral,2023-02-14,True,1.2
52,9194,Bundle,2023-07-22,True,1.0
53,2154,Bundle,2023-01-11,True,1.0
54,4177,Cashback,2023-08-30,True,1.1
55,2388,Bundle,2023-11-12,False,1.0
56,366,Referral,2023-09-10,True,1.2
57,6219,Bundle,2024-01-02,False,1.0
58,6854,Free Trial,2023-09-06,True,0.5
59,7936,Bundle,2024-01-26,True,1.0
60,569,Free Trial,2023-03-10,False,0.5
61,442,Cashback,2023-09-23,False,1.1
62,1186,Discount,2023-05-05,True,1.0
63,3404,Referral,2023-10-06,True,1.2
64,7757,Bundle,2023-08-16,True,1.0
65,2253,Free Trial,2023-08-30,True,0.5
66,9208,Bundle,2023-04-13,False,1.0
67,2292,Referral,2023-08-19,True,1.2
68,9392,Cashback,2024-03-27,True,1.1
69,4632,Discount,2023-02-01,True,1.0
70,863,Referral,2023-01-05,True,1.2
71,3826,Discount,2023-06-12,True,1.0
72,5897,Cashback,2023-08-21,True,1.1
73,4483,Referral,2023-02-27,False,1.2
74,3719,Discount,2023-08-24,False,1.0
75,5837,Cashback,2023-10-19,False,1.1
76,2086,Cashback,2023-12-06,True,1.1
77,6489,Free Trial,2024-02-14,True,0.5
78,9245,Bundle,2024-01-20,True,1.0
79,6931,Discount,2023-07-19,True,1.0
80,3245,Discount,2023-05-22,True,1.0
81,4389,Referral,2024-01-11,False,1.2
82,6877,Cashback,2023-08-25,True,1.1
83,503,Discount,2023-12-24,False,1.0
84,2384,Referral,2023-09-30,True,1.2
85,6222,Discount,2024-01-29,True,1.0
86,5244,Cashback,2023-04-23,True,1.1
87,1956,Cashback,2023-04-23,False,1.1
88,6380,Free Trial,2023-06-24,True,0.5
89,8547,Discount,2023-08-09,True,1.0
90,3756,Referral,2024-02-07,False,1.2
91,6781,Referral,2023-05-28,False,1.2
92,1696,Discount,2024-01-16,False,1.0
93,4799,Discount,2024-02-14,False,1.0
94,6004,Bundle,2023-03-20,False,1.0
95,5180,Cashback,2023-12-23,True,1.1
96,3178,Cashback,2024-03-29,True,1.1
97,1644,Referral,2024-02-13,True,1.2
98,1597,Discount,2023-02-27,False,1.0
99,983,Discount,2023-07-05,False,1.0
100,4373,Referral,2024-02-13,False,1.2
101,4451,Discount,2023-06-30,True,1.0
102,9984,Discount,2023-02-12,True,1.0
103,9999,Referral,2023-09-30,False,1.2
104,7559,Discount,2024-03-08,True,1.0
105,7247,Referral,2023-03-04,True,1.2
106,5844,Free Trial,2023-11-28,False,0.5
107,765,Bundle,2023-04-03,False,1.0
108,8357,Bundle,2024-01-31,True,1.0
109,1148,Referral,2023-02-27,False,1.2
110,8393,Bundle,2024-02-02,True,1.0
111,8432,Discount,2023-08-29,True,1.0
112,8707,Cashback,2023-01-09,True,1.1
113,3875,Referral,2023-11-26,False,1.2
114,7538,Free Trial,2023-07-18,True,0.5
115,9699,Referral,2023-08-19,True,1.2
116,4089,Free Trial,2024-02-05,True,0.5
117,3856,Referral,2023-07-14,True,1.2
118,9245,Bundle,2023-09-04,False,1.0
119,3496,Bundle,2023-02-25,True,1.0
120,5109,Free Trial,2024-01-14,True,0.5
121,5289,Bundle,2024-01-21,True,1.0
122,4710,Bundle,2023-02-05,False,1.0
123,5066,Referral,2023-10-25,True,1.2
124,7740,Cashback,2023-08-12,True,1.1
125,5415,Free Trial,2023-12-31,True,0.5
126,4818,Free Trial,2023-07-17,True,0.5
127,9228,Bundle,2023-02-04,True,1.0
128,1307,Bundle,2023-01-08,False,1.0
129,3843,Referral,2023-10-21,True,1.2
130,9470,Cashback,2023-03-02,True,1.1
131,9425,Bundle,2024-02-11,False,1.0
132,4547,Discount,2023-12-28,False,1.0
133,3607,Referral,2024-02-22,True,1.2
134,2706,Cashback,2023-02-18,True,1.1
135,3638,Bundle,2023-09-05,True,1.0
136,6219,Bundle,2023-01-27,True,1.0
137,2368,Cashback,2024-02-07,False,1.1
138,7566,Free Trial,2023-05-27,True,0.5
139,6651,Referral,2023-09-12,True,1.2
140,6263,Bundle,2023-09-08,False,1.0
141,6706,Bundle,2024-03-29,True,1.0
142,2918,Free Trial,2024-01-14,True,0.5
143,6456,Referral,2023-06-14,True,1.2
144,3481,Cashback,2023-06-06,True,1.1
145,1661,Discount,2024-01-02,True,1.0
146,9879,Cashback,2023-05-23,False,1.1
147,3188,Referral,2023-03-06,True,1.2
148,8061,Bundle,2023-09-29,True,1.0
149,4203,Discount,2024-01-24,True,1.0
150,8591,Discount,2023-11-03,True,1.0
151,8902,Free Trial,2023-05-02,True,0.5
152,2743,Discount,2023-11-21,False,1.0
153,6834,Referral,2023-04-13,True,1.2
154,1137,Free Trial,2024-01-21,True,0.5
155,5423,Discount,2023-07-17,True,1.0
156,5497,Bundle,2023-12-02,True,1.0
157,4941,Bundle,2023-12-18,False,1.0
158,8232,Free Trial,2023-07-26,True,0.5
159,4547,Referral,2023-12-25,True,1.2
160,527,Cashback,2023-01-07,False,1.1
161,194,Bundle,2023-02-10,True,1.0
162,5980,Free Trial,2023-05-13,True,0.5
163,1125,Referral,2023-02-11,True,1.2
164,4729,Discount,2023-03-21,True,1.0
165,5673,Discount,2023-03-02,True,1.0
166,5563,Bundle,2023-08-03,True,1.0
167,9272,Cashback,2023-08-05,True,1.1
168,6862,Bundle,2024-02-12,False,1.0
169,9127,Free Trial,2023-05-24,False,0.5
170,6861,Bundle,2023-10-16,False,1.0
171,5359,Bundle,2023-11-26,False,1.0
172,9756,Referral,2023-09-10,True,1.2
173,3731,Referral,2023-07-15,True,1.2
174,1513,Free Trial,2023-08-28,False,0.5
175,28,Cashback,2024-02-02,True,1.1
176,3594,Bundle,2023-11-28,False,1.0
177,4918,Referral,2023-04-10,True,1.2
178,6405,Referral,2023-12-04,False,1.2
179,6353,Discount,2024-03-05,True,1.0
180,9284,Cashback,2023-09-02,True,1.1
181,5132,Referral,2023-11-08,False,1.2
182,889,Bundle,2024-02-07,True,1.0
183,6746,Cashback,2023-11-26,False,1.1
184,1725,Discount,2023-08-22,True,1.0
185,9384,Referral,2023-10-30,True,1.2
186,9664,Bundle,2023-06-05,False,1.0
187,1646,Referral,2023-07-25,False,1.2
188,8918,Discount,2023-04-11,True,1.0
189,1722,Discount,2023-04-12,True,1.0
190,826,Bundle,2023-04-19,True,1.0
191,5769,Referral,2023-05-27,False,1.2
192,8209,Bundle,2023-03-30,False,1.0
193,4930,Discount,2023-01-30,False,1.0
194,5523,Discount,2023-08-11,True,1.0
195,8280,Bundle,2023-03-07,True,1.0
196,6038,Cashback,2024-03-13,True,1.1
197,9865,Cashback,2023-01-16,False,1.1
198,7027,Discount,2023-09-23,True,1.0
199,6073,Free Trial,2023-02-23,False,0.5
200,851,Free Trial,2024-02-27,True,0.5
201,2779,Discount,2023-03-17,True,1.0
202,6985,Discount,2023-05-15,False,1.0
203,2526,Referral,2023-05-21,True,1.2
204,6137,Referral,2023-04-02,True,1.2
205,6677,Bundle,2024-02-20,True,1.0
206,1189,Bundle,2024-03-20,True,1.0
207,7877,Free Trial,2024-01-18,True,0.5
208,9504,Referral,2023-04-11,True,1.2
209,5368,Free Trial,2023-10-24,True,0.5
210,4151,Referral,2023-11-11,False,1.2
211,7716,Bundle,2023-11-20,True,1.0
212,103,Bundle,2023-08-17,False,1.0
213,8671,Free Trial,2023-03-28,True,0.5
214,745,Discount,2023-03-09,True,1.0
215,6197,Discount,2023-07-27,False,1.0
216,4812,Cashback,2023-08-12,False,1.1
217,6574,Bundle,2024-03-23,True,1.0
218,2362,Discount,2023-06-05,True,1.0
219,833,Discount,2023-03-09,True,1.0
220,7531,Free Trial,2024-03-25,True,0.5
221,347,Bundle,2024-01-20,True,1.0
222,4865,Bundle,2023-07-29,True,1.0
223,3380,Referral,2023-12-21,True,1.2
224,399,Free Trial,2023-06-23,False,0.5
225,3067,Bundle,2024-02-18,True,1.0
226,7887,Bundle,2023-07-28,True,1.0
227,9307,Cashback,2024-03-14,True,1.1
228,456,Referral,2023-01-20,False,1.2
229,9073,Bundle,2023-12-17,True,1.0
230,6444,Cashback,2023-02-28,False,1.1
231,8963,Free Trial,2023-07-27,True,0.5
232,745,Bundle,2023-05-23,True,1.0
233,433,Free Trial,2023-12-11,True,0.5
234,907,Free Trial,2024-01-28,False,0.5
235,7053,Referral,2023-01-25,True,1.2
236,1431,Bundle,2023-01-18,True,1.0
237,7925,Discount,2023-04-01,True,1.0
238,2768,Cashback,2023-07-24,False,1.1
239,4614,Discount,2023-07-28,True,1.0
240,7961,Discount,2023-09-26,True,1.0
241,6389,Cashback,2023-12-01,False,1.1
242,9027,Bundle,2023-09-16,True,1.0
243,2693,Discount,2023-10-09,True,1.0
244,3965,Bundle,2023-09-18,True,1.0
245,638,Referral,2023-01-04,False,1.2
246,6982,Bundle,2023-10-26,True,1.0
247,2444,Cashback,2023-11-19,True,1.1
248,1718,Discount,2023-07-07,True,1.0
249,2958,Discount,2023-06-26,True,1.0
250,729,Free Trial,2023-07-10,False,0.5
251,282,Bundle,2023-12-23,True,1.0
252,9327,Bundle,2024-03-20,True,1.0
253,1503,Free Trial,2023-09-21,True,0.5
254,5364,Cashback,2023-02-26,False,1.1
255,5824,Discount,2023-11-16,True,1.0
256,7027,Discount,2023-02-04,True,1.0
257,9456,Discount,2023-11-02,True,1.0
258,522,Free Trial,2024-03-04,False,0.5
259,8418,Free Trial,2023-02-11,True,0.5
260,7071,Cashback,2023-04-28,True,1.1
261,4795,Referral,2023-05-31,True,1.2
262,5691,Free Trial,2023-10-25,True,0.5
263,7854,Cashback,2023-09-19,False,1.1
264,3213,Free Trial,2023-02-02,False,0.5
265,1405,Referral,2024-02-02,False,1.2
266,3928,Free Trial,2023-10-20,False,0.5
267,9880,Bundle,2023-11-05,True,1.0
268,4159,Free Trial,2024-03-23,True,0.5
269,1352,Referral,2023-08-29,True,1.2
270,616,Free Trial,2024-01-23,True,0.5
271,780,Referral,2023-07-03,True,1.2
272,8522,Bundle,2023-04-13,False,1.0
273,8008,Free Trial,2024-03-26,True,0.5
274,198,Bundle,2023-04-25,True,1.0
275,9133,Cashback,2023-09-05,False,1.1
276,839,Cashback,2023-05-20,False,1.1
277,3118,Bundle,2024-01-16,True,1.0
278,9194,Referral,2024-02-15,False,1.2
279,1368,Discount,2023-01-22,False,1.0
280,6580,Bundle,2023-06-25,True,1.0
281,3274,Referral,2023-03-28,False,1.2
282,1155,Discount,2024-02-16,True,1.0
283,3422,Free Trial,2023-11-08,False,0.5
284,9148,Free Trial,2023-09-21,True,0.5
285,266,Cashback,2024-03-24,True,1.1
286,6064,Free Trial,2024-03-21,False,0.5
287,4457,Free Trial,2023-05-06,False,0.5
288,993,Discount,2023-09-16,False,1.0
289,4049,Cashback,2023-10-05,False,1.1
290,5944,Bundle,2024-01-23,True,1.0
291,2828,Referral,2024-03-20,True,1.2
292,3553,Free Trial,2023-02-14,True,0.5
293,298,Discount,2023-03-26,False,1.0
294,8855,Bundle,2024-02-25,True,1.0
295,7228,Cashback,2023-12-25,True,1.1
296,3813,Referral,2023-11-09,False,1.2
297,831,Bundle,2023-10-03,True,1.0
298,3697,Cashback,2023-07-11,True,1.1
299,2515,Discount,2023-06-10,False,1.0
300,7906,Free Trial,2023-08-02,False,0.5
301,4298,Bundle,2023-12-31,True,1.0
302,6944,Free Trial,2023-03-25,False,0.5
303,5445,Discount,2023-05-08,True,1.0
304,8641,Cashback,2023-08-17,True,1.1
305,3515,Bundle,2023-04-20,True,1.0
306,9922,Discount,2023-11-18,False,1.0
307,4669,Cashback,2024-02-29,True,1.1
308,7272,Cashback,2023-03-21,True,1.1
309,9724,Free Trial,2023-11-16,True,0.5
310,2565,Bundle,2023-09-28,True,1.0
311,5721,Referral,2024-03-16,True,1.2
312,8334,Discount,2023-12-26,False,1.0
313,5001,Cashback,2023-04-18,True,1.1
314,964,Free Trial,2023-12-08,True,0.5
315,691,Bundle,2023-03-08,True,1.0
316,4388,Cashback,2023-01-30,True,1.1
317,6250,Discount,2024-03-10,True,1.0
318,3034,Cashback,2023-08-08,True,1.1
319,4865,Cashback,2023-01-14,True,1.1
320,3975,Cashback,2023-08-14,True,1.1
321,4238,Discount,2024-03-01,False,1.0
322,7939,Free Trial,2024-02-16,True,0.5
323,5934,Free Trial,2023-06-29,True,0.5
324,4429,Discount,2023-09-02,False,1.0
325,2369,Free Trial,2023-09-20,True,0.5
326,7511,Cashback,2023-03-23,False,1.1
327,362,Cashback,2024-01-29,True,1.1
328,2013,Referral,2024-01-17,True,1.2
329,7173,Free Trial,2023-11-19,False,0.5
330,5083,Referral,2023-04-02,True,1.2
331,8112,Free Trial,2023-12-23,False,0.5
332,8762,Cashback,2023-03-30,True,1.1
333,8656,Bundle,2024-03-28,True,1.0
334,8954,Bundle,2023-11-28,False,1.0
335,7244,Discount,2023-07-19,False,1.0
336,7280,Referral,2023-04-30,True,1.2
337,2718,Free Trial,2023-06-02,True,0.5
338,8500,Discount,2023-09-23,True,1.0
339,1181,Discount,2024-01-15,False,1.0
340,9266,Discount,2023-09-14,True,1.0
341,3158,Referral,2023-05-23,True,1.2
342,2346,Cashback,2023-11-12,True,1.1
343,7997,Free Trial,2023-10-22,False,0.5
344,7029,Discount,2024-01-14,False,1.0
345,1565,Discount,2024-02-22,False,1.0
346,637,Referral,2023-04-12,False,1.2
347,5894,Referral,2023-10-24,True,1.2
348,129,Bundle,2023-03-14,False,1.0
349,6647,Cashback,2023-12-30,True,1.1
350,2833,Free Trial,2024-01-25,False,0.5
351,6067,Cashback,2023-09-14,True,1.1
352,7880,Bundle,2023-10-10,False,1.0
353,7388,Cashback,2023-09-05,True,1.1
354,8480,Discount,2023-05-09,False,1.0
355,3677,Cashback,2023-09-02,True,1.1
356,8349,Bundle,2024-01-19,True,1.0
357,3280,Free Trial,2023-01-05,False,0.5
358,6179,Bundle,2024-02-06,True,1.0
359,3198,Cashback,2023-03-26,False,1.1
360,1139,Discount,2023-06-02,False,1.0
361,2234,Discount,2023-08-03,True,1.0
362,4049,Discount,2023-10-30,True,1.0
363,7995,Bundle,2023-02-16,False,1.0
364,4081,Discount,2023-10-23,False,1.0
365,3346,Bundle,2023-07-31,True,1.0
366,5349,Discount,2023-07-25,True,1.0
367,2863,Free Trial,2024-02-10,True,0.5
368,7886,Cashback,2024-03-14,True,1.1
369,4762,Cashback,2023-11-20,True,1.1
370,1115,Bundle,2023-08-19,True,1.0
371,8076,Cashback,2024-01-16,False,1.1
372,7786,Referral,2023-08-29,False,1.2
373,5056,Referral,2023-11-08,True,1.2
374,6328,Bundle,2024-02-21,True,1.0
375,5495,Bundle,2023-10-24,True,1.0
376,3050,Free Trial,2024-02-05,True,0.5
377,3579,Free Trial,2023-10-18,True,0.5
378,807,Discount,2023-10-12,True,1.0
379,8416,Free Trial,2023-07-27,False,0.5
380,4413,Free Trial,2023-12-10,True,0.5
381,5971,Cashback,2023-01-09,True,1.1
382,9108,Discount,2023-04-06,True,1.0
383,3811,Cashback,2023-06-02,True,1.1
384,5065,Referral,2023-12-04,True,1.2
385,5301,Cashback,2023-05-30,False,1.1
386,6332,Bundle,2023-04-25,False,1.0
387,2782,Cashback,2023-08-05,False,1.1
388,5026,Referral,2023-06-16,True,1.2
389,3460,Free Trial,2023-03-17,True,0.5
390,8609,Free Trial,2024-02-14,False,0.5
391,4760,Discount,2024-03-19,False,1.0
392,8443,Free Trial,2023-10-05,False,0.5
393,5695,Referral,2023-07-18,False,1.2
394,718,Cashback,2023-11-23,False,1.1
395,9847,Bundle,2023-05-08,True,1.0
396,5476,Discount,2023-06-27,True,1.0
397,4517,Bundle,2023-11-27,True,1.0
398,626,Referral,2023-12-12,True,1.2
399,2134,Free Trial,2023-10-08,True,0.5
400,4323,Cashback,2024-01-09,True,1.1
401,6138,Referral,2023-03-03,True,1.2
402,5289,Referral,2024-02-01,False,1.2
403,7084,Referral,2023-09-20,True,1.2
404,9822,Bundle,2023-02-13,True,1.0
405,2782,Free Trial,2023-05-01,True,0.5
406,4736,Discount,2023-04-21,False,1.0
407,3717,Bundle,2024-02-12,False,1.0
408,4230,Cashback,2023-07-08,True,1.1
409,4372,Discount,2023-05-28,True,1.0
410,2361,Bundle,2024-02-02,False,1.0
411,7119,Referral,2023-10-16,True,1.2
412,8596,Free Trial,2023-09-23,False,0.5
413,4709,Bundle,2023-12-25,True,1.0
414,1019,Referral,2023-03-20,False,1.2
415,6889,Bundle,2023-09-27,False,1.0
416,5348,Discount,2024-01-07,False,1.0
417,2369,Discount,2023-09-12,True,1.0
418,9834,Discount,2023-04-12,False,1.0
419,8859,Free Trial,2023-12-16,False,0.5
420,4635,Free Trial,2024-03-08,True,0.5
421,7634,Discount,2023-05-21,True,1.0
422,5632,Cashback,2023-11-24,True,1.1
423,7807,Discount,2023-01-24,True,1.0
424,8335,Cashback,2023-10-06,False,1.1
425,9965,Cashback,2024-03-10,True,1.1
426,8848,Referral,2023-06-27,False,1.2
427,5159,Bundle,2024-02-24,True,1.0
428,9681,Cashback,2023-12-30,True,1.1
429,7252,Bundle,2023-02-24,True,1.0
430,4027,Cashback,2023-07-01,True,1.1
431,5090,Discount,2023-04-22,False,1.0
432,9191,Discount,2023-03-17,True,1.0
433,2175,Bundle,2023-03-02,True,1.0
434,1598,Referral,2024-01-18,False,1.2
435,390,Free Trial,2023-11-17,True,0.5
436,8412,Bundle,2023-06-11,False,1.0
437,645,Bundle,2023-09-29,True,1.0
438,388,Bundle,2024-02-06,True,1.0
439,7155,Cashback,2024-03-07,True,1.1
440,1588,Cashback,2024-03-08,False,1.1
441,5791,Free Trial,2024-01-20,True,0.5
442,5166,Bundle,2024-01-04,True,1.0
443,7125,Bundle,2024-02-20,True,1.0
444,8850,Bundle,2023-02-03,True,1.0
445,4211,Cashback,2023-04-01,True,1.1
446,5682,Referral,2023-02-15,False,1.2
447,3914,Bundle,2023-07-17,True,1.0
448,4211,Free Trial,2023-10-24,False,0.5
449,385,Bundle,2023-02-12,False,1.0
450,5809,Cashback,2023-09-05,False,1.1
451,841,Discount,2023-04-28,True,1.0
452,6449,Free Trial,2024-02-26,True,0.5
453,2259,Cashback,2023-03-03,False,1.1
454,5844,Discount,2023-11-05,False,1.0
455,5745,Cashback,2023-08-24,True,1.1
456,629,Bundle,2024-01-06,False,1.0
457,5807,Referral,2023-03-11,True,1.2
458,352,Bundle,2023-04-28,True,1.0
459,9232,Referral,2024-02-18,False,1.2
460,9093,Free Trial,2023-06-23,True,0.5
461,7514,Discount,2023-06-21,True,1.0
462,2515,Discount,2024-02-20,True,1.0
463,1194,Bundle,2023-01-04,True,1.0
464,3846,Referral,2023-09-17,False,1.2
465,6764,Cashback,2023-11-24,True,1.1
466,7569,Discount,2023-12-21,True,1.0
467,5557,Bundle,2023-12-20,False,1.0
468,959,Bundle,2023-08-13,False,1.0
469,6972,Bundle,2023-04-20,False,1.0
470,6199,Cashback,2024-01-09,False,1.1
471,9133,Referral,2023-06-12,True,1.2
472,5185,Referral,2023-09-22,True,1.2
473,3469,Referral,2024-01-01,True,1.2
474,9421,Bundle,2024-02-12,False,1.0
475,5740,Free Trial,2023-06-02,False,0.5
476,1167,Free Trial,2023-05-26,False,0.5
477,3587,Free Trial,2023-03-14,False,0.5
478,2578,Cashback,2023-11-25,False,1.1
479,9674,Discount,2023-06-21,False,1.0
480,7543,Free Trial,2023-01-29,True,0.5
481,4681,Bundle,2023-07-07,True,1.0
482,3571,Referral,2023-03-22,False,1.2
483,5452,Free Trial,2023-06-13,True,0.5
484,9589,Bundle,2023-02-16,True,1.0
485,6540,Free Trial,2023-06-18,True,0.5
486,3917,Bundle,2023-05-11,False,1.0
487,5724,Discount,2024-03-05,False,1.0
488,965,Bundle,2023-06-20,True,1.0
489,7572,Cashback,2023-08-16,True,1.1
490,3073,Cashback,2023-11-12,False,1.1
491,9752,Discount,2023-09-09,True,1.0
492,4933,Cashback,2023-02-05,True,1.1
493,9756,Free Trial,2023-02-10,True,0.5
494,5037,Free Trial,2024-02-11,True,0.5
495,1093,Discount,2024-03-10,True,1.0
496,1655,Discount,2024-02-20,True,1.0
497,1150,Referral,2023-03-12,False,1.2
498,189,Bundle,2024-01-09,True,1.0
499,918,Referral,2023-06-25,False,1.2
500,8643,Bundle,2023-03-27,False,1.0
501,3776,Free Trial,2023-06-23,True,0.5
502,1699,Bundle,2024-01-22,True,1.0
503,4530,Cashback,2024-02-12,True,1.1
504,7978,Discount,2023-02-13,False,1.0
505,8144,Cashback,2023-12-11,True,1.1
506,8302,Discount,2024-02-04,True,1.0
507,9099,Cashback,2023-01-02,True,1.1
508,415,Bundle,2024-02-14,False,1.0
509,8735,Bundle,2023-01-15,True,1.0
510,2764,Referral,2023-12-04,True,1.2
511,2402,Cashback,2024-03-15,True,1.1
512,4820,Cashback,2023-09-01,True,1.1
513,5842,Bundle,2023-07-24,True,1.0
514,3062,Bundle,2024-03-19,False,1.0
515,8038,Referral,2024-02-22,True,1.2
516,2811,Referral,2023-09-04,True,1.2
517,9544,Cashback,2023-10-24,False,1.1
518,7868,Bundle,2023-02-07,True,1.0
519,3665,Bundle,2024-02-08,True,1.0
520,8725,Referral,2023-10-13,True,1.2
521,9863,Discount,2024-03-02,True,1.0
522,673,Discount,2023-08-08,True,1.0
523,5199,Free Trial,2023-01-27,True,0.5
524,2612,Bundle,2023-09-04,True,1.0
525,7970,Bundle,2023-02-11,True,1.0
526,3264,Bundle,2023-06-06,False,1.0
527,3493,Referral,2023-01-13,True,1.2
528,5945,Free Trial,2024-02-18,True,0.5
529,6405,Referral,2024-02-03,True,1.2
530,2915,Bundle,2023-05-24,False,1.0
531,4093,Free Trial,2023-02-18,True,0.5
532,5476,Bundle,2023-03-09,False,1.0
533,4428,Bundle,2023-09-08,True,1.0
534,9527,Bundle,2023-01-05,True,1.0
535,6707,Discount,2023-06-05,True,1.0
536,7312,Bundle,2023-06-11,False,1.0
537,6764,Free Trial,2023-06-10,True,0.5
538,665,Discount,2023-12-20,False,1.0
539,2815,Free Trial,2024-03-13,True,0.5
540,3402,Bundle,2023-06-07,True,1.0
541,8046,Cashback,2023-06-07,True,1.1
542,3094,Discount,2023-01-28,True,1.0
543,533,Discount,2023-02-18,False,1.0
544,6608,Referral,2023-05-25,True,1.2
545,2540,Cashback,2023-02-23,False,1.1
546,8691,Bundle,2023-05-16,True,1.0
547,36,Free Trial,2023-05-16,True,0.5
548,9151,Cashback,2023-09-18,True,1.1
549,9302,Bundle,2023-12-17,True,1.0
550,4115,Referral,2023-09-25,False,1.2
551,8418,Free Trial,2024-01-31,False,0.5
552,7684,Discount,2023-07-08,False,1.0
553,1274,Discount,2023-02-15,False,1.0
554,2031,Bundle,2024-03-02,True,1.0
555,4443,Discount,2023-01-22,True,1.0
556,59,Discount,2023-11-25,True,1.0
557,6422,Referral,2023-10-13,False,1.2
558,9132,Referral,2023-06-07,False,1.2
559,180,Discount,2023-11-06,True,1.0
560,1049,Referral,2023-11-17,True,1.2
561,4803,Referral,2023-06-04,True,1.2
562,9788,Discount,2023-05-19,True,1.0
563,374,Discount,2024-02-08,False,1.0
564,2421,Referral,2023-06-09,True,1.2
565,9155,Discount,2024-01-19,True,1.0
566,955,Discount,2023-03-18,True,1.0
567,9963,Referral,2024-01-25,True,1.2
568,6839,Free Trial,2023-11-02,False,0.5
569,5856,Free Trial,2023-06-25,True,0.5
570,8647,Cashback,2023-09-09,True,1.1
571,5605,Cashback,2023-08-25,False,1.1
572,8353,Cashback,2023-01-01,True,1.1
573,6649,Discount,2023-12-24,False,1.0
574,6045,Free Trial,2023-02-16,True,0.5
575,6019,Cashback,2024-03-12,True,1.1
576,9193,Bundle,2023-01-22,True,1.0
577,6709,Cashback,2023-08-20,False,1.1
578,9725,Free Trial,2023-06-25,False,0.5
579,2569,Referral,2023-02-14,True,1.2
580,9400,Free Trial,2023-02-25,True,0.5
581,7267,Free Trial,2023-02-21,True,0.5
582,9248,Referral,2023-03-26,True,1.2
583,663,Bundle,2023-11-18,True,1.0
584,1718,Referral,2023-04-26,True,1.2
585,5346,Referral,2023-06-14,True,1.2
586,2589,Cashback,2023-07-13,True,1.1
587,432,Cashback,2023-12-10,True,1.1
588,7506,Free Trial,2023-12-11,False,0.5
589,1331,Bundle,2023-10-18,True,1.0
590,144,Bundle,2023-04-04,False,1.0
591,1087,Discount,2023-05-11,False,1.0
592,9752,Free Trial,2023-11-30,True,0.5
593,7200,Discount,2023-08-06,False,1.0
594,4588,Free Trial,2023-05-20,False,0.5
595,7993,Cashback,2024-01-06,False,1.1
596,9977,Discount,2023-08-06,True,1.0
597,7596,Free Trial,2024-02-26,True,0.5
598,3519,Discount,2023-05-30,True,1.0
599,3730,Discount,2024-01-16,True,1.0
600,3258,Cashback,2024-03-03,False,1.1
601,9360,Cashback,2023-02-20,True,1.1
602,9510,Discount,2023-02-18,True,1.0
603,7038,Free Trial,2023-03-19,True,0.5
604,8983,Cashback,2023-11-13,False,1.1
605,797,Referral,2023-12-30,False,1.2
606,10000,Referral,2024-01-19,True,1.2
607,9697,Bundle,2023-07-12,True,1.0
608,2808,Cashback,2023-02-18,False,1.1
609,2789,Cashback,2023-05-07,True,1.1
610,139,Referral,2024-01-03,True,1.2
611,2126,Free Trial,2023-11-08,True,0.5
612,7161,Bundle,2023-04-27,False,1.0
613,1991,Bundle,2023-02-18,True,1.0
614,8604,Referral,2024-01-28,True,1.2
