viewer_id,signup_date,country,age_group,signup_quarter
56,2023-06-26,USA,56+,2023Q2
57,2023-07-21,France,18-25,2023Q3
58,2023-06-03,Japan,46-55,2023Q2
59,2023-09-04,Canada,26-35,2023Q3
60,2023-11-20,Germany,18-25,2023Q4
61,2023-09-30,Brazil,56+,2023Q3
62,2023-01-15,Brazil,26-35,2023Q1
63,2023-05-31,UK,18-25,2023Q2
64,2024-02-17,Germany,36-45,2024Q1
65,2023-08-07,Australia,46-55,2023Q3
66,2023-06-27,Japan,56+,2023Q2
67,2023-12-12,France,26-35,2023Q4
68,2024-03-07,USA,26-35,2024Q1
69,2023-11-27,India,36-45,2023Q4
70,2024-03-21,Mexico,56+,2024Q1
71,2023-02-11,Mexico,46-55,2023Q1
72,2023-07-10,France,46-55,2023Q3
73,2023-09-24,Mexico,36-45,2023Q3
74,2024-01-15,India,26-35,2024Q1
75,2023-05-14,UK,46-55,2023Q2
76,2023-11-09,Brazil,36-45,2023Q4
77,2023-06-29,Canada,46-55,2023Q2
78,2023-07-29,India,56+,2023Q3
79,2024-02-06,UK,26-35,2024Q1
80,2024-03-02,Germany,46-55,2024Q1
81,2023-02-17,Brazil,36-45,2023Q1
82,2023-09-06,Brazil,46-55,2023Q3
83,2023-05-30,UK,36-45,2023Q2
84,2023-01-04,Canada,36-45,2023Q1
85,2023-08-10,Germany,46-55,2023Q3
86,2023-01-26,France,18-25,2023Q1
87,2023-06-10,Canada,18-25,2023Q2
88,2023-03-24,USA,56+,2023Q1
89,2024-02-23,India,36-45,2024Q1
90,2023-04-04,Brazil,18-25,2023Q2
91,2023-06-25,India,46-55,2023Q2
92,2023-04-14,Canada,56+,2023Q2
93,2023-01-07,Germany,18-25,2023Q1
94,2023-05-07,France,46-55,2023Q2
95,2023-10-02,UK,26-35,2023Q4
96,2024-02-05,Germany,26-35,2024Q1
97,2023-03-14,Germany,18-25,2023Q1
98,2023-06-07,UK,36-45,2023Q2
99,2023-06-19,Japan,56+,2023Q2
100,2023-01-29,Brazil,46-55,2023Q1
101,2023-10-24,India,56+,2023Q4
102,2023-01-23,Australia,46-55,2023Q1
103,2024-01-14,Germany,56+,2024Q1
104,2023-07-30,Australia,56+,2023Q3
105,2023-10-07,Germany,36-45,2023Q4
106,2023-05-01,Canada,46-55,2023Q2
107,2023-02-13,Brazil,36-45,2023Q1
108,2023-11-23,UK,46-55,2023Q4
109,2023-08-01,Japan,56+,2023Q3
110,2023-10-21,France,46-55,2023Q4
111,2024-02-03,India,18-25,2024Q1
112,2024-03-22,India,18-25,2024Q1
113,2023-09-14,Japan,56+,2023Q3
114,2024-01-01,Canada,46-55,2024Q1
115,2023-04-20,USA,46-55,2023Q2
116,2023-03-31,India,46-55,2023Q1
117,2023-05-28,India,18-25,2023Q2
118,2023-08-01,Australia,18-25,2023Q3
119,2024-03-13,India,26-35,2024Q1
120,2023-11-18,Mexico,36-45,2023Q4
121,2023-09-19,USA,26-35,2023Q3
122,2023-03-05,Australia,36-45,2023Q1
123,2023-09-28,Brazil,36-45,2023Q3
124,2024-01-12,Germany,56+,2024Q1
125,2023-12-20,Brazil,26-35,2023Q4
126,2023-03-21,Japan,56+,2023Q1
127,2024-03-23,Canada,56+,2024Q1
128,2023-10-17,France,18-25,2023Q4
129,2023-03-20,Germany,36-45,2023Q1
130,2023-02-09,Australia,26-35,2023Q1
131,2024-01-06,Canada,56+,2024Q1
132,2023-03-03,Mexico,46-55,2023Q1
133,2023-01-17,Mexico,18-25,2023Q1
134,2023-11-07,Canada,18-25,2023Q4
135,2024-03-04,Germany,26-35,2024Q1
136,2023-11-01,India,46-55,2023Q4
137,2024-01-21,Mexico,18-25,2024Q1
138,2023-10-21,Germany,46-55,2023Q4
139,2023-04-21,Japan,56+,2023Q2
140,2023-09-09,USA,46-55,2023Q3
141,2024-01-16,Brazil,18-25,2024Q1
142,2023-01-18,Australia,18-25,2023Q1
143,2023-07-10,UK,18-25,2023Q3
144,2023-10-23,Germany,56+,2023Q4
145,2023-01-08,Mexico,36-45,2023Q1
146,2023-09-18,UK,18-25,2023Q3
147,2023-03-18,USA,46-55,2023Q1
148,2023-12-15,Brazil,46-55,2023Q4
149,2024-02-26,India,18-25,2024Q1
150,2023-07-18,Germany,36-45,2023Q3
151,2023-07-28,India,18-25,2023Q3
152,2023-02-08,Australia,56+,2023Q1
153,2024-01-13,USA,26-35,2024Q1
154,2023-02-28,Australia,26-35,2023Q1
155,2024-02-01,UK,56+,2024Q1
156,2023-04-02,Japan,36-45,2023Q2
157,2023-08-08,Germany,46-55,2023Q3
158,2023-01-03,Japan,26-35,2023Q1
159,2023-05-28,Australia,18-25,2023Q2
160,2023-10-30,UK,36-45,2023Q4
161,2023-05-15,Mexico,26-35,2023Q2
162,2023-05-12,Brazil,56+,2023Q2
163,2024-02-18,France,46-55,2024Q1
164,2023-03-09,Canada,56+,2023Q1
165,2023-11-24,Germany,18-25,2023Q4
166,2023-09-21,Canada,26-35,2023Q3
167,2023-10-03,Japan,56+,2023Q4
168,2023-02-06,USA,56+,2023Q1
169,2023-11-20,Australia,46-55,2023Q4
170,2024-01-07,Japan,36-45,2024Q1
171,2023-02-03,Brazil,46-55,2023Q1
172,2023-10-11,Japan,18-25,2023Q4
173,2023-01-26,Germany,26-35,2023Q1
174,2023-07-21,Japan,26-35,2023Q3
175,2023-04-20,Australia,26-35,2023Q2
176,2023-03-18,UK,56+,2023Q1
177,2023-03-15,India,46-55,2023Q1
178,2023-04-23,Canada,26-35,2023Q2
179,2023-10-18,France,36-45,2023Q4
180,2024-02-09,Mexico,36-45,2024Q1
181,2023-03-11,USA,36-45,2023Q1
182,2023-09-06,Australia,46-55,2023Q3
183,2023-04-22,Canada,36-45,2023Q2
184,2024-03-22,USA,46-55,2024Q1
185,2024-02-03,UK,56+,2024Q1
186,2023-08-12,Canada,46-55,2023Q3
187,2024-03-26,Japan,18-25,2024Q1
188,2024-02-03,Mexico,36-45,2024Q1
189,2023-11-08,India,46-55,2023Q4
190,2023-02-13,UK,18-25,2023Q1
191,2024-01-22,Canada,36-45,2024Q1
192,2023-04-24,Japan,46-55,2023Q2
193,2023-08-08,Mexico,18-25,2023Q3
194,2023-04-17,Brazil,46-55,2023Q2
195,2023-11-21,Brazil,56+,2023Q4
196,2023-06-16,Australia,46-55,2023Q2
197,2023-03-23,Japan,26-35,2023Q1
198,2023-01-29,Germany,26-35,2023Q1
199,2023-03-23,Mexico,18-25,2023Q1
200,2023-11-23,USA,56+,2023Q4
201,2023-01-26,Australia,56+,2023Q1
202,2023-11-22,Mexico,46-55,2023Q4
203,2023-04-21,India,46-55,2023Q2
204,2023-08-05,India,56+,2023Q3
205,2023-01-10,Canada,18-25,2023Q1
206,2023-09-06,India,18-25,2023Q3
207,2023-07-31,Mexico,26-35,2023Q3
208,2023-05-30,Mexico,46-55,2023Q2
209,2023-12-01,Canada,46-55,2023Q4
210,2023-07-04,France,26-35,2023Q3
211,2023-07-03,Germany,56+,2023Q3
212,2023-08-24,India,26-35,2023Q3
213,2023-11-05,France,46-55,2023Q4
214,2024-03-24,Japan,46-55,2024Q1
215,2023-12-19,Japan,26-35,2023Q4
216,2023-01-15,UK,46-55,2023Q1
217,2024-02-04,Mexico,26-35,2024Q1
218,2023-07-03,Japan,46-55,2023Q3
219,2023-07-03,Japan,36-45,2023Q3
220,2023-09-22,Brazil,46-55,2023Q3
221,2023-02-28,Japan,36-45,2023Q1
222,2023-05-09,Brazil,26-35,2023Q2
223,2023-11-09,USA,36-45,2023Q4
224,2023-11-03,USA,46-55,2023Q4
225,2023-10-05,Japan,36-45,2023Q4
226,2023-06-26,Canada,46-55,2023Q2
227,2023-04-20,Mexico,36-45,2023Q2
228,2023-10-06,India,56+,2023Q4
229,2023-07-19,Mexico,36-45,2023Q3
230,2023-01-22,Germany,26-35,2023Q1
231,2023-03-20,UK,56+,2023Q1
232,2024-02-11,Australia,18-25,2024Q1
233,2023-07-11,Brazil,56+,2023Q3
234,2023-12-04,Japan,46-55,2023Q4
235,2023-05-06,Japan,26-35,2023Q2
236,2024-01-25,Brazil,46-55,2024Q1
237,2023-03-28,Canada,36-45,2023Q1
238,2024-03-29,Mexico,26-35,2024Q1
239,2023-07-27,Germany,56+,2023Q3
240,2023-09-12,Mexico,18-25,2023Q3
241,2023-05-02,India,36-45,2023Q2
242,2024-03-03,Canada,18-25,2024Q1
243,2023-03-10,Australia,56+,2023Q1
244,2023-03-25,USA,36-45,2023Q1
245,2023-08-28,UK,18-25,2023Q3
246,2023-10-02,Japan,18-25,2023Q4
247,2023-06-28,Japan,36-45,2023Q2
248,2023-10-11,USA,18-25,2023Q4
249,2023-06-09,India,18-25,2023Q2
250,2023-01-07,Germany,36-45,2023Q1
251,2024-01-10,Germany,18-25,2024Q1
252,2023-09-18,USA,46-55,2023Q3
253,2023-02-09,USA,46-55,2023Q1
254,2024-01-13,UK,46-55,2024Q1
255,2023-10-21,Germany,36-45,2023Q4
256,2023-07-20,Germany,36-45,2023Q3
257,2023-08-14,Australia,26-35,2023Q3
258,2024-03-09,Mexico,26-35,2024Q1
259,2023-06-23,UK,46-55,2023Q2
260,2023-10-08,France,26-35,2023Q4
261,2023-04-28,France,36-45,2023Q2
262,2024-02-20,Canada,46-55,2024Q1
263,2023-04-06,Brazil,36-45,2023Q2
264,2023-02-01,Australia,56+,2023Q1
265,2023-07-23,India,36-45,2023Q3
266,2023-07-31,Japan,46-55,2023Q3
267,2023-07-31,Japan,26-35,2023Q3
268,2023-03-25,USA,18-25,2023Q1
269,2024-03-02,Australia,18-25,2024Q1
270,2023-04-17,Australia,18-25,2023Q2
271,2023-02-06,Brazil,26-35,2023Q1
272,2023-03-18,Brazil,18-25,2023Q1
273,2023-02-14,Germany,36-45,2023Q1
274,2023-11-15,Canada,26-35,2023Q4
275,2023-06-07,USA,36-45,2023Q2
276,2023-01-20,Australia,56+,2023Q1
277,2023-02-23,Canada,46-55,2023Q1
278,2024-01-25,Mexico,26-35,2024Q1
279,2023-02-17,Canada,18-25,2023Q1
280,2024-02-25,Brazil,46-55,2024Q1
281,2023-05-01,Germany,26-35,2023Q2
282,2024-02-29,Brazil,18-25,2024Q1
283,2023-08-12,USA,46-55,2023Q3
284,2023-04-02,Japan,18-25,2023Q2
285,2024-02-17,Japan,56+,2024Q1
286,2023-12-31,Australia,36-45,2023Q4
287,2023-05-28,USA,26-35,2023Q2
288,2023-10-20,Mexico,18-25,2023Q4
289,2023-08-29,Brazil,18-25,2023Q3
290,2023-09-18,Brazil,36-45,2023Q3
291,2024-02-19,Canada,36-45,2024Q1
292,2024-01-07,Brazil,36-45,2024Q1
293,2023-07-23,Canada,36-45,2023Q3
294,2023-02-17,UK,36-45,2023Q1
295,2023-08-01,Australia,46-55,2023Q3
296,2023-08-25,Brazil,56+,2023Q3
297,2023-01-20,Germany,26-35,2023Q1
298,2023-10-07,UK,36-45,2023Q4
299,2023-12-02,India,26-35,2023Q4
300,2023-01-19,Canada,56+,2023Q1
301,2024-02-13,Japan,36-45,2024Q1
302,2023-11-03,Japan,56+,2023Q4
303,2024-02-11,India,56+,2024Q1
304,2023-01-06,Germany,46-55,2023Q1
305,2023-02-02,UK,18-25,2023Q1
306,2023-07-23,Germany,36-45,2023Q3
307,2023-05-08,Australia,56+,2023Q2
308,2023-02-02,Australia,46-55,2023Q1
309,2023-06-30,France,36-45,2023Q2
310,2024-02-16,USA,46-55,2024Q1
311,2023-05-05,UK,56+,2023Q2
312,2023-06-05,Australia,36-45,2023Q2
313,2023-03-13,Australia,56+,2023Q1
314,2023-03-18,USA,36-45,2023Q1
315,2023-08-02,Canada,56+,2023Q3
316,2023-12-20,Australia,36-45,2023Q4
317,2023-06-06,Brazil,36-45,2023Q2
318,2023-01-01,India,36-45,2023Q1
319,2023-02-27,Australia,46-55,2023Q1
320,2023-11-21,Canada,26-35,2023Q4
321,2023-08-14,USA,26-35,2023Q3
322,2023-12-03,India,18-25,2023Q4
323,2023-06-23,Japan,26-35,2023Q2
324,2023-12-19,Japan,56+,2023Q4
325,2023-05-11,Japan,26-35,2023Q2
326,2023-12-08,USA,26-35,2023Q4
327,2024-03-02,Germany,46-55,2024Q1
328,2023-07-16,Mexico,36-45,2023Q3
329,2023-02-11,UK,36-45,2023Q1
330,2023-01-26,USA,36-45,2023Q1
331,2024-03-30,Brazil,18-25,2024Q1
332,2023-04-15,UK,46-55,2023Q2
333,2023-02-08,USA,56+,2023Q1
334,2023-11-02,Mexico,56+,2023Q4
335,2023-08-13,Canada,46-55,2023Q3
336,2023-05-25,Brazil,18-25,2023Q2
337,2023-12-29,Mexico,36-45,2023Q4
338,2023-05-23,India,56+,2023Q2
339,2023-10-10,Australia,36-45,2023Q4
340,2023-07-19,Brazil,36-45,2023Q3
341,2023-01-05,Mexico,26-35,2023Q1
342,2024-02-27,Brazil,18-25,2024Q1
343,2023-05-09,France,36-45,2023Q2
344,2023-02-04,USA,46-55,2023Q1
345,2024-03-02,USA,56+,2024Q1
346,2023-10-25,Japan,26-35,2023Q4
347,2024-02-17,Canada,18-25,2024Q1
348,2023-10-03,Canada,26-35,2023Q4
349,2023-01-12,Australia,56+,2023Q1
350,2023-04-24,India,56+,2023Q2
351,2023-01-08,UK,26-35,2023Q1
352,2023-10-09,Germany,56+,2023Q4
353,2023-09-03,UK,46-55,2023Q3
354,2023-04-29,Mexico,36-45,2023Q2
355,2023-12-25,Canada,18-25,2023Q4
356,2024-02-08,UK,18-25,2024Q1
357,2023-07-28,Germany,36-45,2023Q3
358,2023-05-09,Brazil,56+,2023Q2
359,2023-05-25,India,18-25,2023Q2
360,2023-01-30,Canada,56+,2023Q1
361,2023-10-18,Canada,36-45,2023Q4
362,2024-01-28,Japan,56+,2024Q1
363,2023-01-13,Australia,26-35,2023Q1
364,2023-01-29,Germany,26-35,2023Q1
365,2023-01-09,Japan,26-35,2023Q1
366,2024-01-08,Japan,56+,2024Q1
367,2024-01-11,Mexico,18-25,2024Q1
368,2024-02-29,Germany,46-55,2024Q1
369,2023-10-16,Canada,26-35,2023Q4
370,2023-07-08,Brazil,26-35,2023Q3
371,2023-12-02,USA,26-35,2023Q4
372,2023-04-17,Australia,26-35,2023Q2
373,2023-01-16,France,56+,2023Q1
374,2023-12-20,Japan,46-55,2023Q4
375,2023-10-27,Canada,56+,2023Q4
376,2023-03-24,Japan,36-45,2023Q1
377,2024-01-27,France,46-55,2024Q1
378,2023-10-31,Japan,56+,2023Q4
379,2023-09-02,France,36-45,2023Q3
380,2023-02-04,India,46-55,2023Q1
381,2023-04-29,Brazil,36-45,2023Q2
382,2023-05-29,UK,56+,2023Q2
383,2023-03-01,France,46-55,2023Q1
384,2023-12-17,Japan,56+,2023Q4
385,2024-02-12,USA,56+,2024Q1
386,2023-06-14,Canada,18-25,2023Q2
387,2023-07-07,Brazil,36-45,2023Q3
388,2024-01-03,Japan,36-45,2024Q1
389,2023-01-09,Germany,46-55,2023Q1
390,2023-03-30,UK,36-45,2023Q1
391,2023-01-08,France,26-35,2023Q1
392,2024-03-15,Canada,26-35,2024Q1
393,2023-06-21,Japan,26-35,2023Q2
394,2023-10-23,USA,36-45,2023Q4
395,2024-03-03,USA,46-55,2024Q1
396,2024-03-02,Mexico,56+,2024Q1
397,2023-02-24,Mexico,46-55,2023Q1
398,2023-11-15,Australia,18-25,2023Q4
399,2023-02-05,Mexico,56+,2023Q1
400,2023-07-27,France,56+,2023Q3
401,2023-02-28,USA,46-55,2023Q1
402,2023-03-28,France,18-25,2023Q1
403,2023-08-27,USA,18-25,2023Q3
404,2023-04-27,Brazil,36-45,2023Q2
405,2023-09-26,India,56+,2023Q3
406,2023-05-16,India,46-55,2023Q2
407,2023-03-05,Mexico,26-35,2023Q1
408,2024-01-26,India,36-45,2024Q1
409,2023-10-16,UK,36-45,2023Q4
410,2023-12-15,France,18-25,2023Q4
411,2023-11-12,Canada,46-55,2023Q4
412,2024-01-23,USA,18-25,2024Q1
413,2023-06-30,France,56+,2023Q2
414,2023-10-12,USA,36-45,2023Q4
415,2023-03-10,France,56+,2023Q1
416,2024-01-22,Germany,36-45,2024Q1
417,2023-05-26,Canada,56+,2023Q2
418,2023-11-07,India,18-25,2023Q4
419,2023-04-14,Mexico,18-25,2023Q2
420,2024-03-06,USA,36-45,2024Q1
421,2023-03-21,Canada,36-45,2023Q1
422,2024-02-22,Canada,46-55,2024Q1
423,2023-08-02,France,56+,2023Q3
424,2024-03-15,India,18-25,2024Q1
425,2023-01-11,Mexico,46-55,2023Q1
426,2023-03-23,Germany,18-25,2023Q1
427,2023-07-03,USA,46-55,2023Q3
428,2024-03-02,Australia,18-25,2024Q1
429,2023-02-17,USA,18-25,2023Q1
430,2023-05-11,Japan,18-25,2023Q2
431,2023-03-21,USA,56+,2023Q1
432,2023-05-30,France,36-45,2023Q2
433,2023-02-06,Australia,26-35,2023Q1
434,2023-02-20,Brazil,18-25,2023Q1
435,2024-02-25,USA,18-25,2024Q1
436,2023-11-29,Australia,56+,2023Q4
437,2023-12-04,Japan,26-35,2023Q4
438,2023-11-30,India,46-55,2023Q4
439,2023-02-15,Germany,26-35,2023Q1
440,2023-10-25,France,56+,2023Q4
441,2023-11-29,Japan,18-25,2023Q4
442,2023-01-17,USA,46-55,2023Q1
443,2023-05-13,India,18-25,2023Q2
444,2023-03-09,India,26-35,2023Q1
445,2023-07-02,Mexico,26-35,2023Q3
446,2023-01-19,India,18-25,2023Q1
447,2023-12-16,Canada,18-25,2023Q4
448,2023-04-12,Mexico,36-45,2023Q2
449,2024-03-12,Germany,56+,2024Q1
450,2023-02-02,France,46-55,2023Q1
451,2023-03-30,Mexico,46-55,2023Q1
452,2023-06-16,UK,56+,2023Q2
453,2023-04-05,UK,36-45,2023Q2
454,2023-05-17,Canada,36-45,2023Q2
455,2023-04-27,Australia,26-35,2023Q2
456,2023-10-27,Brazil,36-45,2023Q4
457,2023-03-16,UK,46-55,2023Q1
458,2023-04-02,India,26-35,2023Q2
459,2023-10-14,Canada,46-55,2023Q4
460,2023-09-29,USA,18-25,2023Q3
461,2023-01-12,Brazil,26-35,2023Q1
462,2023-10-29,Canada,56+,2023Q4
463,2023-10-03,Australia,18-25,2023Q4
464,2023-02-14,Mexico,36-45,2023Q1
465,2023-12-12,Japan,36-45,2023Q4
466,2023-06-05,India,26-35,2023Q2
467,2023-06-20,France,56+,2023Q2
468,2023-07-24,France,18-25,2023Q3
469,2023-03-18,Brazil,18-25,2023Q1
470,2024-02-26,Mexico,18-25,2024Q1
471,2023-12-21,Mexico,56+,2023Q4
472,2024-03-18,Brazil,46-55,2024Q1
473,2023-11-20,Japan,26-35,2023Q4
474,2023-11-01,UK,46-55,2023Q4
475,2024-01-24,Japan,18-25,2024Q1
476,2024-03-28,USA,26-35,2024Q1
477,2024-02-15,UK,56+,2024Q1
478,2024-03-23,India,56+,2024Q1
479,2024-01-20,UK,36-45,2024Q1
480,2023-05-18,France,26-35,2023Q2
481,2024-02-17,India,46-55,2024Q1
482,2023-01-22,Japan,18-25,2023Q1
483,2023-09-20,France,56+,2023Q3
484,2024-02-19,Canada,46-55,2024Q1
485,2024-03-26,Brazil,56+,2024Q1
486,2023-02-22,USA,26-35,2023Q1
487,2023-11-26,Canada,26-35,2023Q4
488,2023-12-07,Canada,56+,2023Q4
489,2023-05-27,India,36-45,2023Q2
490,2023-11-08,Germany,26-35,2023Q4
491,2023-04-09,Canada,18-25,2023Q2
492,2024-01-13,Canada,26-35,2024Q1
493,2023-11-25,Canada,18-25,2023Q4
494,2023-01-23,Canada,46-55,2023Q1
495,2023-06-20,UK,36-45,2023Q2
496,2023-10-09,USA,56+,2023Q4
497,2024-01-06,Germany,46-55,2024Q1
498,2023-06-25,Australia,46-55,2023Q2
499,2023-08-06,Mexico,26-35,2023Q3
500,2023-06-26,UK,56+,2023Q2
501,2024-01-20,France,56+,2024Q1
502,2024-03-28,Brazil,36-45,2024Q1
503,2023-02-01,Mexico,18-25,2023Q1
504,2024-01-27,USA,36-45,2024Q1
505,2024-01-01,Canada,26-35,2024Q1
506,2023-11-25,France,18-25,2023Q4
507,2023-04-13,USA,26-35,2023Q2
508,2024-01-24,India,26-35,2024Q1
509,2024-01-02,Germany,56+,2024Q1
510,2023-12-31,India,56+,2023Q4
511,2023-11-08,Japan,56+,2023Q4
512,2023-03-15,France,56+,2023Q1
513,2024-02-23,Brazil,56+,2024Q1
514,2023-06-13,France,26-35,2023Q2
515,2023-08-04,Canada,46-55,2023Q3
516,2023-09-20,Germany,46-55,2023Q3
517,2023-04-27,UK,26-35,2023Q2
518,2023-10-12,India,56+,2023Q4
519,2023-05-06,Germany,46-55,2023Q2
520,2023-11-28,UK,56+,2023Q4
521,2023-09-14,Germany,36-45,2023Q3
522,2023-09-25,Germany,56+,2023Q3
523,2023-04-17,Australia,36-45,2023Q2
524,2023-05-04,Canada,56+,2023Q2
525,2023-02-08,Canada,36-45,2023Q1
526,2023-06-20,Australia,26-35,2023Q2
527,2023-07-12,Brazil,36-45,2023Q3
528,2024-01-03,USA,26-35,2024Q1
529,2023-03-21,USA,26-35,2023Q1
530,2023-11-29,Canada,56+,2023Q4
531,2023-10-30,India,36-45,2023Q4
532,2023-01-13,USA,26-35,2023Q1
533,2023-07-08,France,26-35,2023Q3
534,2023-01-12,Canada,26-35,2023Q1
535,2023-01-02,Australia,18-25,2023Q1
536,2023-04-03,Germany,56+,2023Q2
537,2023-03-03,Mexico,36-45,2023Q1
538,2023-08-21,Japan,46-55,2023Q3
539,2024-03-08,UK,18-25,2024Q1
540,2023-04-01,Brazil,18-25,2023Q2
541,2024-01-23,Brazil,46-55,2024Q1
542,2023-12-27,USA,18-25,2023Q4
543,2023-07-10,Brazil,26-35,2023Q3
544,2023-10-26,Germany,36-45,2023Q4
545,2023-06-26,Brazil,46-55,2023Q2
546,2023-03-23,France,18-25,2023Q1
547,2023-06-17,Germany,36-45,2023Q2
548,2023-01-08,Germany,26-35,2023Q1
549,2023-06-20,Canada,56+,2023Q2
550,2023-12-18,Mexico,18-25,2023Q4
551,2023-09-05,Canada,46-55,2023Q3
552,2024-02-14,France,46-55,2024Q1
553,2023-06-09,Germany,56+,2023Q2
554,2023-03-10,Japan,56+,2023Q1
555,2023-10-14,Japan,26-35,2023Q4
556,2023-02-28,Brazil,26-35,2023Q1
557,2023-03-23,India,56+,2023Q1
558,2023-07-08,Australia,18-25,2023Q3
559,2023-08-29,USA,46-55,2023Q3
560,2023-10-20,UK,36-45,2023Q4
561,2023-07-09,Australia,18-25,2023Q3
562,2023-02-06,Germany,46-55,2023Q1
563,2023-12-11,Japan,46-55,2023Q4
564,2023-07-07,Mexico,18-25,2023Q3
565,2023-07-04,UK,46-55,2023Q3
566,2023-11-22,Germany,36-45,2023Q4
567,2023-06-22,UK,46-55,2023Q2
568,2024-01-16,India,46-55,2024Q1
569,2023-10-10,France,18-25,2023Q4
570,2023-03-10,Germany,46-55,2023Q1
571,2023-06-29,France,46-55,2023Q2
572,2024-02-04,Canada,18-25,2024Q1
573,2023-08-07,Japan,26-35,2023Q3
574,2023-01-12,France,26-35,2023Q1
575,2023-12-30,India,56+,2023Q4
576,2023-01-07,India,56+,2023Q1
577,2024-01-16,Canada,36-45,2024Q1
578,2023-05-15,Brazil,18-25,2023Q2
579,2023-06-26,Germany,18-25,2023Q2
580,2023-11-13,India,46-55,2023Q4
581,2023-12-06,India,36-45,2023Q4
582,2023-04-18,UK,46-55,2023Q2
583,2023-11-30,India,56+,2023Q4
584,2023-07-23,Australia,18-25,2023Q3
585,2023-07-04,Brazil,46-55,2023Q3
586,2023-05-23,Australia,26-35,2023Q2
587,2023-05-26,Australia,26-35,2023Q2
588,2023-11-17,Canada,46-55,2023Q4
589,2023-02-17,Brazil,36-45,2023Q1
590,2024-02-12,India,56+,2024Q1
591,2023-07-30,Canada,36-45,2023Q3
592,2023-03-26,Germany,26-35,2023Q1
593,2023-08-30,USA,26-35,2023Q3
594,2023-08-01,Germany,26-35,2023Q3
595,2023-03-23,Australia,26-35,2023Q1
596,2023-04-28,UK,56+,2023Q2
597,2023-06-29,Mexico,36-45,2023Q2
598,2024-02-05,Mexico,46-55,2024Q1
599,2023-01-02,Australia,56+,2023Q1
600,2023-10-21,USA,46-55,2023Q4
601,2023-11-14,Germany,18-25,2023Q4
602,2023-02-16,France,46-55,2023Q1
603,2023-02-27,Mexico,56+,2023Q1
604,2024-03-01,India,26-35,2024Q1
605,2023-10-11,Japan,46-55,2023Q4
606,2023-06-03,India,56+,2023Q2
607,2023-11-22,USA,26-35,2023Q4
608,2023-09-06,India,26-35,2023Q3
609,2023-10-19,USA,56+,2023Q4
610,2023-09-17,Germany,46-55,2023Q3
611,2023-02-09,UK,26-35,2023Q1
612,2024-02-05,Australia,56+,2024Q1
613,2023-10-07,Germany,18-25,2023Q4
614,2024-03-17,Canada,36-45,2024Q1
615,2023-07-12,France,56+,2023Q3
616,2023-10-04,Mexico,46-55,2023Q4
617,2023-01-09,Australia,18-25,2023Q1
618,2023-04-20,France,18-25,2023Q2
619,2023-02-25,Brazil,36-45,2023Q1
620,2023-09-01,Australia,46-55,2023Q3
621,2023-11-09,Australia,18-25,2023Q4
